Geneid,NC_6,NC_5,NC_4,NC_3,NC_1,D2_6,D2_4,D2_3,D2_2,D2_1,D1_5,D1_4,D1_3,D1_2,D1_1
ENSG00000290825.1,2,3,0,4,42,4,3,0,1,1,14,1,6,2,12
ENSG00000223972.6,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0
ENSG00000227232.5,97,77,160,115,164,85,60,87,77,126,125,87,95,105,63
ENSG00000278267.1,5,0,2,0,0,1,7,0,10,2,13,3,8,4,5
ENSG00000243485.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,1,0,0,0,7,4,0,0,5,11,15,13,0,5,4
ENSG00000239945.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,1,0,3,1,28,8,11,3,28,51,133,102,20,25,33
ENSG00000268903.1,13,4,7,11,9,12,11,2,6,87,221,102,50,27,84
ENSG00000269981.1,16,0,15,15,29,25,10,19,22,102,381,183,52,70,130
ENSG00000239906.1,3,1,5,3,5,0,0,0,8,6,16,4,2,4,10
ENSG00000241860.7,24,2,6,5,16,13,4,10,26,42,182,77,29,32,63
ENSG00000222623.1,8,0,6,0,0,1,0,11,9,24,18,28,7,9,6
ENSG00000241599.1,1,0,1,0,1,1,1,5,0,4,7,1,2,5,1
ENSG00000279928.2,10,48,18,71,141,9,26,42,44,25,13,22,4,0,8
ENSG00000279457.4,160,184,130,113,105,118,185,118,135,100,163,89,141,80,91
