Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8207876_1	SRR8207876_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46633130.0	6.9 Gbp	0.0	150.0	47.0	23.45965835808279	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR8207876_2	SRR8207876_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46633130.0	6.9 Gbp	0.0	150.0	47.0	27.257371733761964	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR8207877_1	SRR8207877_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42289524.0	6.3 Gbp	0.0	150.0	46.0	20.105239197961524	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR8207877_2	SRR8207877_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42289524.0	6.3 Gbp	0.0	150.0	47.0	23.240164170760583	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR8207878_1	SRR8207878_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42549574.0	6.3 Gbp	0.0	150.0	46.0	33.33439789933029	150.0	150	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
SRR8207878_2	SRR8207878_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42549574.0	6.3 Gbp	0.0	150.0	46.0	39.26473521867388	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR8207879_1	SRR8207879_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41057668.0	6.1 Gbp	0.0	150.0	47.0	33.36662711841097	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR8207879_2	SRR8207879_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41057668.0	6.1 Gbp	0.0	150.0	47.0	38.014816686881304	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR8207880_1	SRR8207880_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46524442.0	6.9 Gbp	0.0	150.0	49.0	19.0957329638074	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR8207880_2	SRR8207880_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46524442.0	6.9 Gbp	0.0	150.0	50.0	22.097012505125008	150.0	150	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
