Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8207876_1	76.54034164191721	47.0	150.0	150	20.0	46633130.0
SRR8207876_2	72.74262826623803	47.0	150.0	150	20.0	46633130.0
SRR8207877_1	79.89476080203848	46.0	150.0	150	30.0	42289524.0
SRR8207877_2	76.75983582923942	47.0	150.0	150	20.0	42289524.0
SRR8207878_1	66.6656021006697	46.0	150.0	150	30.0	42549574.0
SRR8207878_2	60.73526478132612	46.0	150.0	150	20.0	42549574.0
SRR8207879_1	66.63337288158903	47.0	150.0	150	20.0	41057668.0
SRR8207879_2	61.985183313118696	47.0	150.0	150	20.0	41057668.0
SRR8207880_1	80.9042670361926	49.0	150.0	150	20.0	46524442.0
SRR8207880_2	77.90298749487499	50.0	150.0	150	20.0	46524442.0
SRR8207881_1	59.86002574186916	44.0	150.0	150	20.0	43410614.0
SRR8207881_2	51.865814568718505	44.0	150.0	150	10.0	43410614.0
SRR8207882_1	84.17948361451444	46.0	150.0	150	30.0	50724373.0
SRR8207882_2	81.721563577955	47.0	150.0	150	20.0	50724373.0
SRR8207883_1	75.29660271712505	46.0	150.0	150	20.0	41478373.0
SRR8207883_2	70.9207154939646	46.0	150.0	150	10.0	41478373.0
SRR8207884_1	63.42600967207517	46.0	150.0	150	30.0	43568972.0
SRR8207884_2	55.08142588171639	46.0	150.0	150	20.0	43568972.0
SRR8207885_1	59.17797250694875	45.0	150.0	150	20.0	45192853.0
SRR8207885_2	50.89021442544788	45.0	150.0	150	10.0	45192853.0
SRR8207886_1	48.60736660337327	47.0	150.0	150	10.0	43894321.0
SRR8207886_2	38.322960341342934	46.0	150.0	150	0.0	43894321.0
SRR8207887_1	49.80483541895566	46.0	150.0	150	10.0	44126994.0
SRR8207887_2	37.92716952897155	45.0	150.0	150	0.0	44126994.0
SRR8207888_1	48.807710724809695	45.0	150.0	150	10.0	42083084.0
SRR8207888_2	36.602130920777896	45.0	150.0	150	0.0	42083084.0
SRR8207889_1	44.17720217372919	45.0	150.0	150	10.0	41732350.0
SRR8207889_2	31.949116648388113	44.0	150.0	150	0.0	41732350.0
SRR8207890_1	49.19030467933641	44.0	150.0	150	10.0	44773954.0
SRR8207890_2	35.819706900326736	44.0	150.0	150	0.0	44773954.0
