gene_id,category
ENSG00000279202,Shared (D1 & D2)
ENSG00000253307,Shared (D1 & D2)
ENSG00000279727,Shared (D1 & D2)
ENSG00000242256,Shared (D1 & D2)
ENSG00000272630,Shared (D1 & D2)
ENSG00000266777,Shared (D1 & D2)
ENSG00000211859,Shared (D1 & D2)
ENSG00000229622,Shared (D1 & D2)
ENSG00000166762,Shared (D1 & D2)
ENSG00000267882,Shared (D1 & D2)
ENSG00000228863,Shared (D1 & D2)
ENSG00000140807,Shared (D1 & D2)
ENSG00000211863,Shared (D1 & D2)
ENSG00000288948,Shared (D1 & D2)
ENSG00000269985,Shared (D1 & D2)
ENSG00000288989,Shared (D1 & D2)
ENSG00000273356,Shared (D1 & D2)
ENSG00000119737,Shared (D1 & D2)
ENSG00000171517,Shared (D1 & D2)
ENSG00000226284,Shared (D1 & D2)
ENSG00000260388,Shared (D1 & D2)
ENSG00000166250,Shared (D1 & D2)
ENSG00000288670,Shared (D1 & D2)
ENSG00000241288,Shared (D1 & D2)
ENSG00000279149,Shared (D1 & D2)
ENSG00000211848,Shared (D1 & D2)
ENSG00000238829,Shared (D1 & D2)
ENSG00000211882,Shared (D1 & D2)
ENSG00000289353,Shared (D1 & D2)
ENSG00000284773,Shared (D1 & D2)
ENSG00000250995,Shared (D1 & D2)
ENSG00000287967,Shared (D1 & D2)
ENSG00000253636,Shared (D1 & D2)
ENSG00000258858,Shared (D1 & D2)
ENSG00000233968,Shared (D1 & D2)
ENSG00000252498,Shared (D1 & D2)
ENSG00000259717,Shared (D1 & D2)
ENSG00000240549,Shared (D1 & D2)
ENSG00000289917,Shared (D1 & D2)
ENSG00000279059,Shared (D1 & D2)
ENSG00000158050,Shared (D1 & D2)
ENSG00000231881,Shared (D1 & D2)
ENSG00000282431,Shared (D1 & D2)
ENSG00000162944,Shared (D1 & D2)
ENSG00000085999,Shared (D1 & D2)
ENSG00000134253,Shared (D1 & D2)
ENSG00000262714,Shared (D1 & D2)
ENSG00000263766,Shared (D1 & D2)
ENSG00000224376,Shared (D1 & D2)
ENSG00000189149,Shared (D1 & D2)
ENSG00000139351,Shared (D1 & D2)
ENSG00000278740,Shared (D1 & D2)
ENSG00000288610,Shared (D1 & D2)
ENSG00000289310,Shared (D1 & D2)
ENSG00000124469,Shared (D1 & D2)
ENSG00000163736,Acute only (D1)
ENSG00000189043,Acute only (D1)
ENSG00000233276,Acute only (D1)
ENSG00000150681,Acute only (D1)
ENSG00000131171,Acute only (D1)
ENSG00000253720,Acute only (D1)
ENSG00000259151,Acute only (D1)
ENSG00000240288,Acute only (D1)
ENSG00000165506,Acute only (D1)
ENSG00000126457,Acute only (D1)
ENSG00000105640,Acute only (D1)
ENSG00000236977,Acute only (D1)
ENSG00000289698,Acute only (D1)
ENSG00000171813,Acute only (D1)
ENSG00000164587,Acute only (D1)
ENSG00000291232,Acute only (D1)
ENSG00000213442,Acute only (D1)
ENSG00000131368,Acute only (D1)
ENSG00000198918,Acute only (D1)
ENSG00000139679,Acute only (D1)
ENSG00000233334,Acute only (D1)
ENSG00000231799,Acute only (D1)
ENSG00000198931,Acute only (D1)
ENSG00000112514,Acute only (D1)
ENSG00000276180,Acute only (D1)
ENSG00000230789,Acute only (D1)
ENSG00000144746,Acute only (D1)
ENSG00000185130,Acute only (D1)
ENSG00000169621,Acute only (D1)
ENSG00000148803,Acute only (D1)
ENSG00000065665,Acute only (D1)
ENSG00000278637,Acute only (D1)
ENSG00000177971,Acute only (D1)
ENSG00000103363,Acute only (D1)
ENSG00000182810,Acute only (D1)
ENSG00000085231,Acute only (D1)
ENSG00000167965,Acute only (D1)
ENSG00000063177,Acute only (D1)
ENSG00000138376,Acute only (D1)
ENSG00000248544,Acute only (D1)
ENSG00000131652,Acute only (D1)
ENSG00000105193,Acute only (D1)
ENSG00000147403,Acute only (D1)
ENSG00000287680,Acute only (D1)
ENSG00000196787,Acute only (D1)
ENSG00000180964,Acute only (D1)
ENSG00000146540,Acute only (D1)
ENSG00000183291,Acute only (D1)
ENSG00000168002,Acute only (D1)
ENSG00000151292,Acute only (D1)
ENSG00000276168,Acute only (D1)
ENSG00000214194,Acute only (D1)
ENSG00000277075,Acute only (D1)
ENSG00000260924,Acute only (D1)
ENSG00000251791,Acute only (D1)
ENSG00000180992,Acute only (D1)
ENSG00000228300,Acute only (D1)
ENSG00000146757,Acute only (D1)
ENSG00000274618,Acute only (D1)
ENSG00000065268,Acute only (D1)
ENSG00000083845,Acute only (D1)
ENSG00000179950,Acute only (D1)
ENSG00000278828,Acute only (D1)
ENSG00000145990,Acute only (D1)
ENSG00000140988,Acute only (D1)
ENSG00000228474,Acute only (D1)
ENSG00000233822,Acute only (D1)
ENSG00000125817,Acute only (D1)
ENSG00000053371,Acute only (D1)
ENSG00000177700,Acute only (D1)
ENSG00000139684,Acute only (D1)
ENSG00000168298,Acute only (D1)
ENSG00000185305,Acute only (D1)
ENSG00000273983,Acute only (D1)
ENSG00000090776,Acute only (D1)
ENSG00000255141,Acute only (D1)
ENSG00000072506,Acute only (D1)
ENSG00000225460,Acute only (D1)
ENSG00000198898,Acute only (D1)
ENSG00000229117,Acute only (D1)
ENSG00000135390,Acute only (D1)
ENSG00000197756,Acute only (D1)
ENSG00000285420,Acute only (D1)
ENSG00000100300,Acute only (D1)
ENSG00000108639,Acute only (D1)
ENSG00000128185,Acute only (D1)
ENSG00000100528,Acute only (D1)
ENSG00000225636,Acute only (D1)
ENSG00000198960,Acute only (D1)
ENSG00000113328,Acute only (D1)
ENSG00000110700,Acute only (D1)
ENSG00000169442,Acute only (D1)
ENSG00000149313,Acute only (D1)
ENSG00000090104,Acute only (D1)
ENSG00000185085,Acute only (D1)
ENSG00000185825,Acute only (D1)
ENSG00000178464,Acute only (D1)
ENSG00000277157,Acute only (D1)
ENSG00000151474,Acute only (D1)
ENSG00000138182,Acute only (D1)
ENSG00000198856,Acute only (D1)
ENSG00000171858,Acute only (D1)
ENSG00000179115,Acute only (D1)
ENSG00000180879,Acute only (D1)
ENSG00000277775,Acute only (D1)
ENSG00000245275,Acute only (D1)
ENSG00000264493,Acute only (D1)
ENSG00000128524,Acute only (D1)
ENSG00000258682,Acute only (D1)
ENSG00000183207,Acute only (D1)
ENSG00000154518,Acute only (D1)
ENSG00000269893,Acute only (D1)
ENSG00000169193,Acute only (D1)
ENSG00000233559,Acute only (D1)
ENSG00000100354,Acute only (D1)
ENSG00000104886,Acute only (D1)
ENSG00000128626,Acute only (D1)
ENSG00000277027,Acute only (D1)
ENSG00000262919,Acute only (D1)
ENSG00000184897,Acute only (D1)
ENSG00000176108,Acute only (D1)
ENSG00000184436,Acute only (D1)
ENSG00000124091,Acute only (D1)
ENSG00000101444,Acute only (D1)
ENSG00000113638,Acute only (D1)
ENSG00000067225,Acute only (D1)
ENSG00000179886,Acute only (D1)
ENSG00000182957,Acute only (D1)
ENSG00000146109,Acute only (D1)
ENSG00000196199,Acute only (D1)
ENSG00000273160,Acute only (D1)
ENSG00000143933,Acute only (D1)
ENSG00000173113,Acute only (D1)
ENSG00000053702,Acute only (D1)
ENSG00000182199,Acute only (D1)
ENSG00000137818,Acute only (D1)
ENSG00000182544,Acute only (D1)
ENSG00000167526,Acute only (D1)
ENSG00000179632,Acute only (D1)
ENSG00000197061,Acute only (D1)
ENSG00000278588,Acute only (D1)
ENSG00000138085,Acute only (D1)
ENSG00000187713,Acute only (D1)
ENSG00000162729,Acute only (D1)
ENSG00000124575,Acute only (D1)
ENSG00000007255,Acute only (D1)
ENSG00000205138,Acute only (D1)
ENSG00000177463,Acute only (D1)
ENSG00000286522,Acute only (D1)
ENSG00000230482,Acute only (D1)
ENSG00000168101,Acute only (D1)
ENSG00000171222,Acute only (D1)
ENSG00000133794,Acute only (D1)
ENSG00000279176,Acute only (D1)
ENSG00000165512,Acute only (D1)
ENSG00000197312,Acute only (D1)
ENSG00000275714,Acute only (D1)
ENSG00000169976,Acute only (D1)
ENSG00000188986,Acute only (D1)
ENSG00000169100,Acute only (D1)
ENSG00000170802,Acute only (D1)
ENSG00000101888,Acute only (D1)
ENSG00000211450,Acute only (D1)
ENSG00000055950,Acute only (D1)
ENSG00000204287,Acute only (D1)
ENSG00000132768,Acute only (D1)
ENSG00000139055,Acute only (D1)
ENSG00000165629,Acute only (D1)
ENSG00000215030,Acute only (D1)
ENSG00000143353,Acute only (D1)
ENSG00000127184,Acute only (D1)
ENSG00000278970,Acute only (D1)
ENSG00000149823,Acute only (D1)
ENSG00000187837,Acute only (D1)
ENSG00000136710,Acute only (D1)
ENSG00000225663,Acute only (D1)
ENSG00000110711,Acute only (D1)
ENSG00000231177,Acute only (D1)
ENSG00000155366,Acute only (D1)
ENSG00000183978,Acute only (D1)
ENSG00000064393,Acute only (D1)
ENSG00000213553,Acute only (D1)
ENSG00000236104,Acute only (D1)
ENSG00000174748,Acute only (D1)
