gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000163736,6306.927457071102,-4.688456667678306,0.28495515909317215,5.062862692018883e-62,1.2141757307999685e-57,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000189043,1177.9785981083764,-2.2040425264673553,0.1704752281787382,3.9291011684429686e-39,4.711385211079964e-35,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000233276,833.1656906946075,-3.520870377718834,0.2767024214250873,3.044098358895856e-38,2.4334522281013474e-34,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000150681,5832.456882142038,-3.203091230729695,0.2649113048495964,7.886935781857111e-35,4.728612348012431e-31,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000131171,3074.4559654071336,-2.2014241041737637,0.185171576244251,1.7853168051139613e-33,8.563093524048603e-30,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000165506,211.17799530024936,-2.0402998697066907,0.1808036578034927,2.398344654840618e-30,6.390789056931967e-27,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000126457,1552.0183909731893,-2.125883988241861,0.192861603408708,4.0013202184319427e-29,9.595966147843484e-26,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000105640,13889.44433908222,-2.1795884906204703,0.1984759045149402,5.085326055240712e-29,1.1086935405162068e-25,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000171813,520.8235335226981,-2.163625120089018,0.19774422597773336,9.733626278787851e-29,1.667370181556359e-25,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000164587,21325.02499809379,-2.0050290660897567,0.1848165793488841,2.955011194182759e-28,4.724471897259395e-25,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000213442,1033.2756954724289,-2.3677431140082823,0.2206981423569779,8.642428642383796e-28,1.2191924923626365e-24,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000198918,9210.88129769908,-2.923392994735443,0.2754487971662923,2.4979204921308934e-27,2.995256462114154e-24,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000139679,3370.4303351062485,-2.7069295286954924,0.25580046899773273,3.62862369209634e-27,4.14388825637402e-24,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000198931,1279.2069391257291,-2.108068485375254,0.2005560680494838,1.1633022197397108e-26,1.162429743074906e-23,stroke_d1 vs control (ACUTE),Downregulated
