gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000279202,138.8571020231447,1.289311796164335,0.27770203410792327,1.743680804108676e-7,0.0015233667345095447,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000166250,77.33975548202274,1.3467379790026648,0.30260654145155014,4.240728743906529e-7,0.0023056450247006186,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000211859,68.90276254935837,1.551374588127923,0.35309980337751223,5.278189262749656e-7,0.0023056450247006186,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000288670,55.58887774842804,1.4201094012094515,0.34052453119285897,1.4655157762610677e-6,0.0036581367369442337,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000273356,39.86586874610332,1.6446520265947542,0.39385218425634766,1.43232477027924e-6,0.0036581367369442337,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000238829,69.71627272193648,1.176404965906984,0.29578359507319735,3.511339433316815e-6,0.0068170704353716334,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000284773,30.454328241736736,1.8912515937089955,0.4855053377164172,4.4244941174426386e-6,0.007730918571407522,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000279727,165.6856102966686,1.285351707149427,0.3359358700495318,6.022570987935726e-6,0.009385670681992773,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000260388,28.006781454760503,1.8463416117453881,0.484168202079761,6.445833467859743e-6,0.009385670681992773,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000279149,67.31528088832509,1.5202605354139198,0.40717740587325124,8.154323878647705e-6,0.009432443707374366,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000242256,34.20265441365717,1.4960176354764017,0.42463327087799946,2.047418724485504e-5,0.012776624061762576,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000266777,89.31475656573376,1.1385579594143433,0.3204833409000012,1.8124909057058756e-5,0.012776624061762576,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000253307,58.61370378862715,1.9293532155257445,0.5647460243465241,2.7344661652781827e-5,0.013272035362751579,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000278740,34.72295064492948,1.2567930604586282,0.3658945778423975,2.716942401004077e-5,0.013272035362751579,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000269985,48.72480899903178,1.4667844045511114,0.4380701568592681,3.376881497867665e-5,0.014751062603060429,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000140807,166.02017068842991,1.1210018033897133,0.3388533879078018,4.3020837179389145e-5,0.016704513067454813,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000229622,31.02072963187343,1.2517728624353297,0.39515072553245695,7.156695783881037e-5,0.021632558464316123,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000252498,95.62714120176713,1.139135631262638,0.3687872412503925,8.766747255843749e-5,0.02252667276490556,stroke_d2 vs control (SUBACUTE),Upregulated
ENSG00000272630,59.68315870132753,1.0119276124199703,0.3246360695496484,8.756231220378328e-5,0.02252667276490556,stroke_d2 vs control (SUBACUTE),Upregulated
