ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002181,cytoplasmic translation,80/3689,149/13192,2.7693321677699047e-11,1.5358716202451892e-7,1.5358716202451892e-7,SH3BGRL/RPL18A/RPS14/RPL39/RPL18/RPS16/RPL10/RPS5/RPS2/RPL41/RPL37A/RPS13/RPS21/PKM/RPLP1/RPL13/RPLP0P6/RPL15/UBA52/RPS18/EIF3K/RPL13A/RPL32/RPS9/RPLP0/RPLP2/RPL35/RPL8/RPSA/RPS15/RPS23/RPL23A/RPL36/RPL30/FAU/RPS19/RPS11/RPL24/RPS20/RPL29/EIF3M/RPL23/RPS7/RPL34/RPS3/RPS24/RPS29/RPL27/RPL10A/RPS25/RPL27A/MIF4GD/RPL35A/RPL38/RPL7/RPL31/RPL7A/EIF3E/RPS27A/RPS3A/FTSJ1/EIF3G/RPS12/RPS17/RPS15A/RPL19/RPL21/RPS4X/ZC3H15/RPL17/RPL28/RPL22L1/RPL9/DHX29/RWDD1/SYNCRIP/RPL26L1/RPS10/RPS27/RPS28,80
BP,GO:0061644,protein localization to CENP-A containing chromatin,18/3689,18/13192,1.0611153874223611e-10,2.942472969322207e-7,2.942472969322207e-7,H4C9/H4C1/H2AC8/H4C6/H4C4/H4C3/H4C12/H4C5/H4C2/H4C16/H2BC11/H4C8/H2AC4/H4C11/H4C13/H4C15/H4C14/CENPA,18
BP,GO:0045653,negative regulation of megakaryocyte differentiation,18/3689,19/13192,1.483886181828207e-9,2.743210921473079e-6,2.743210921473079e-6,PRMT1/H4C9/H4C1/H4C6/H4C4/H4C3/H4C12/H4C5/H4C2/H4C16/H4C8/H4C11/CIB1/PF4/H4C13/GABPA/H4C15/H4C14,18
BP,GO:0006334,nucleosome assembly,55/3689,98/13192,4.128407972781162e-9,5.724037654261081e-6,5.724037654261081e-6,H4C9/H2BC13/H4C1/H4C6/H3C10/H2BC15/H1-4/H3C8/H4C4/H3C7/H1-10/H4C3/H2BC10/H1-3/H3C2/H3C1/H1-2/H4C12/H2BC17/H4C5/H1-5/H4C2/H4C16/H2BC11/H4C8/H3C13/H2BC8/H4C11/H3C3/H2BC9/KAT6A/NPM1/H2BC7/GRWD1/H3C14/UBN1/HAT1/ASF1A/H2AX/H4C13/H2BC6/H3C11/H2BC3/H3C6/H1-0/NASP/TSPYL4/H3C12/H4C15/NAP1L2/H3C15/H2BC14/H4C14/NAP1L3/TSPYL6,55
BP,GO:0034728,nucleosome organization,59/3689,117/13192,2.0682102885606316e-7,2.074181417915503e-4,2.074181417915503e-4,H4C9/H2BC13/H4C1/H4C6/H3C10/H2BC15/H1-4/H3C8/H4C4/H3C7/H1-10/H4C3/H2BC10/H1-3/H3C2/H3C1/H1-2/H4C12/H2BC17/H4C5/H2AC25/H1-5/H4C2/H4C16/H2BC11/H4C8/H3C13/H2BC8/H4C11/H3C3/H2BC9/KAT6A/NPM1/ARID1A/H2BC7/GRWD1/H3C14/UBN1/HAT1/SUPT6H/ASF1A/H2AX/H4C13/H2BC6/H3C11/H2BC3/H3C6/H1-0/NASP/TSPYL4/H3C12/H4C15/NAP1L2/H3C15/H2BC14/SMARCE1/H4C14/NAP1L3/TSPYL6,59
BP,GO:0071459,"protein localization to chromosome, centromeric region",27/3689,40/13192,2.2439755693279874e-7,2.074181417915503e-4,2.074181417915503e-4,H4C9/H4C1/H2AC8/H4C6/H4C4/H4C3/H4C12/H4C5/TTK/H4C2/H4C16/H2BC11/H4C8/KNL1/H2AC4/H4C11/CENPQ/JARID2/H4C13/CDK1/KNTC1/ZWILCH/H4C15/MTBP/BUB1B/H4C14/CENPA,27
BP,GO:0045652,regulation of megakaryocyte differentiation,25/3689,36/13192,2.723192900892783e-7,2.157546832621625e-4,2.1575468326216247e-4,PRMT1/H4C9/H4C1/H4C6/H4C4/H4C3/H4C12/H4C5/EIF6/H4C2/H4C16/H4C8/H4C11/CIB1/PF4/PRMT6/H4C13/RCOR1/L3MBTL1/GABPA/MEF2C/H4C15/LOX/H4C14/RAB7B,25
BP,GO:0042255,ribosome assembly,34/3689,62/13192,7.472380188400095e-6,0.005180227565608366,0.005180227565608366,RPS14/DDX28/RPL10/RPS5/ABT1/RPLP0P6/EIF6/RPLP0/ERAL1/RPSA/RPS15/BOP1/RPL23A/RPS19/RPL24/MRPS2/NPM1/EIF1AX/RPL38/MRPS7/BRIX1/EIF2A/TRAF7/RRP7A/RPSA2/MPV17L2/FASTKD2/DHX29/NLE1/MRTO4/NGRN/RPS27/RPS28/MRM2,34
BP,GO:0032543,mitochondrial translation,58/3689,129/13192,2.5656704882358513e-5,0.0158102316975067,0.015810231697506703,MRPS25/MRPL14/MRPS12/SHMT2/MRPL43/COA3/MRPL54/GADD45GIP1/TUFM/MRPL28/MRPS34/MRPL41/MRPS18B/MRPL50/MRPS35/MRPL11/MRPS16/MRPL4/MRPL49/AURKAIP1/MRPL58/MRPS2/MRPL37/MRPS23/MRPL51/MRPS7/MRPL17/MRPL18/MRPL57/MRPS33/MRPL22/RMND1/MRPS18A/TRMT10C/TARS2/MRPL13/RCC1L/MRPL34/MRPL36/MRPL12/MRPL3/MRPL40/MRPS26/MRPL27/CHCHD1/MRPS5/MRPL55/MRPL1/MPV17L2/FASTKD2/MRPL15/MRPL39/TACO1/MRPL24/NGRN/MRPS17/MRPL23/MRPL38,58
BP,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,25/3689,44/13192,5.4198418748197886e-5,0.029579232166760547,0.029579232166760547,PPBP/RPL39/H2BC10/H2BC12/PF4V1/H2BC11/RPL30/FAU/RPS19/GAPDH/H2BC8/H2BC7/PF4/RNASE6/H2BC6/FAM3A/ROMO1/CXCL5/ELANE/CXCL10/S100A12/LEAP2/PGC/CXCL9/CXCL1,25
BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,45/3689,96/13192,5.8667788286037864e-5,0.029579232166760547,0.029579232166760547,ATP5MC2/ATP5MC3/ATP5F1C/NME3/STOML2/NDUFA8/SDHC/ENO1/NDUFB7/ATP5F1D/NDUFS3/TMSB4X/NDUFS7/NDUFC2/ANTKMT/SDHD/ATP5F1B/NDUFB11/NDUFB6/PPARA/ATP5MK/NDUFA5/ATP5MC1/NDUFB5/NDUFA2/ATP5F1A/NME9/NDUFV1/ATP5PD/NDUFS4/NDUFA1/ATP5MJ/NDUFB2/ATP5F1E/NDUFS8/NME4/DNAJC30/ADCY10/NME1/ATP5PO/LIPA/ATP5PF/UQCC3/ALDOA/NUDT2,45
BP,GO:0019730,antimicrobial humoral response,35/3689,70/13192,7.479787036196724e-5,0.03199231234153316,0.03199231234153315,PPBP/RPL39/H2BC10/H2BC12/PF4V1/H2BC11/RPL30/FAU/RPS19/GAPDH/H2BC8/H2BC7/PF4/RNASE6/H2BC6/FAM3A/HLA-A/ROMO1/CXCL5/PRSS2/ELANE/JCHAIN/IGHE/CXCL10/S100A12/IGHA2/IGHM/IGHA1/LEAP2/IGKV3-20/IGHG4/PGC/CXCL9/AZU1/CXCL1,35
BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,45/3689,97/13192,8.007516287602806e-5,0.03199231234153316,0.03199231234153315,ATP5MC2/ATP5MC3/ATP5F1C/NME3/STOML2/NDUFA8/SDHC/ENO1/NDUFB7/ATP5F1D/NDUFS3/TMSB4X/NDUFS7/NDUFC2/ANTKMT/SDHD/ATP5F1B/NDUFB11/NDUFB6/PPARA/ATP5MK/NDUFA5/ATP5MC1/NDUFB5/NDUFA2/ATP5F1A/NME9/NDUFV1/ATP5PD/NDUFS4/NDUFA1/ATP5MJ/NDUFB2/ATP5F1E/NDUFS8/NME4/DNAJC30/ADCY10/NME1/ATP5PO/LIPA/ATP5PF/UQCC3/ALDOA/NUDT2,45
BP,GO:0006119,oxidative phosphorylation,54/3689,122/13192,8.075953349828059e-5,0.03199231234153316,0.03199231234153315,NDUFA4/SHMT2/ATP5F1C/COX7C/UQCRC1/COX6A1/CYC1/STOML2/NDUFA8/SDHC/UQCRH/COX4I1/CHCHD2/UQCRQ/NDUFB7/ATP5F1D/COX8A/NDUFS3/NDUFS7/NDUFC2/ANTKMT/SDHD/COX5B/ATP5F1B/NDUFB11/NDUFB6/NDUFA5/COX6B1/NDUFB5/COX7A2L/NDUFA2/COX7A2/UQCR10/ATP5F1A/PARK7/CDK1/NDUFV1/ATP5PD/COX7B/NDUFS4/NDUFA1/CCNB1/CHCHD10/NDUFB2/ATP5F1E/NDUFS8/DNAJC30/UQCR11/ATP5PO/ATP5PF/COA6/UQCC3/TNF/UQCRHL,54
